Entity,Year,Temperature anomaly,Oceanic Niño Index (ONI) anomaly
August,2019,0.35555267,0.38
August,2020,0.26625633,-0.29
August,2021,0.31062126,-0.35
August,2022,0.2952137,-0.7
August,2023,0.7090626,1
August,2024,0.7105751,0.06
August,2025,0.48949814,-0.11
August,2026,0.844841,1.8
December,1950,-0.66224575,-0.66
December,1951,-0.4643774,0.96
December,1952,-0.70207596,-0.11
December,1953,-0.59537506,0.52
December,1954,-0.81268215,-0.4
December,1955,-0.9461689,-1.59
December,1956,-0.7470541,-0.37
December,1957,-0.45921516,1.39
December,1958,-0.60860443,0.36
December,1959,-0.5907726,0.23
December,1960,-0.4344082,-0.07
December,1961,-0.72038174,-0.11
December,1962,-0.6208401,-0.25
December,1963,-0.57758045,1.19
December,1964,-0.91444206,-0.79
December,1965,-0.6589174,1.82
December,1966,-0.656888,-0.23
December,1967,-0.6144438,-0.36
December,1968,-0.7389593,0.66
December,1969,-0.35144806,0.81
December,1970,-0.6979914,-0.78
December,1971,-0.68609047,-0.86
December,1972,-0.4383936,1.84
December,1973,-0.60564995,-1.89
December,1974,-0.7628269,-0.88
December,1975,-0.82321167,-1.47
December,1976,-0.66656303,0.81
December,1977,-0.5416212,0.84
December,1978,-0.5147362,-0.07
December,1979,-0.13220978,0.5
December,1980,-0.47253227,0.08
December,1981,-0.23479462,-0.19
December,1982,-0.23315144,2.03
December,1983,-0.42403316,-0.96
December,1984,-0.60335827,-0.95
December,1985,-0.54594517,-0.28
December,1986,-0.44721985,1.06
December,1987,-0.12601185,1.2
December,1988,-0.36968327,-1.81
December,1989,-0.2399559,-0.12
December,1990,-0.14960194,0.31
December,1991,-0.33700752,1.18
December,1992,-0.46335506,-0.24
December,1993,-0.35290337,0.2
December,1994,-0.27205563,0.93
December,1995,-0.3405285,-1.05
December,1996,-0.24599075,-0.39
December,1997,-0.047932625,2.34
December,1998,-0.08743286,-1.31
December,1999,-0.22363281,-1.35
December,2000,-0.34228897,-0.76
December,2001,0.03004837,-0.33
December,2002,-0.12224579,1.19
December,2003,0.17725945,0.29
December,2004,-0.09579277,0.64
December,2005,0.101005554,-0.57
December,2006,0.19520187,0.88
December,2007,-0.089328766,-1.57
December,2008,-0.044015884,-0.57
December,2009,0.06800461,1.31
December,2010,-0.10175991,-1.57
December,2011,-0.038053513,-1.02
December,2012,-0.03212452,0.13
December,2013,0.1265173,-0.12
December,2014,0.1880951,0.7
December,2015,0.5391102,2.45
December,2016,0.3351717,-0.49
December,2017,0.37153244,-0.61
December,2018,0.33067513,1.04
December,2019,0.5391426,0.72
December,2020,0.23468113,-1.11
December,2021,0.3219347,-0.91
December,2022,0.2704115,-0.82
December,2023,0.8447113,1.9
December,2024,0.7583227,-0.29
December,2025,0.48625755,-0.61
February,1950,-0.9366398,-1.32
February,1951,-1.0458918,-0.66
February,1952,-0.591218,0.52
February,1953,-0.60764027,0.25
February,1954,-0.79543114,0.41
February,1955,-0.91639423,-0.5
February,1956,-0.88162804,-1.17
February,1957,-0.7964468,-0.27
February,1958,-0.46889687,1.69
February,1959,-0.56297016,0.6
February,1960,-0.48531342,0.02
February,1961,-0.4857397,0
February,1962,-0.526186,-0.16
February,1963,-0.53446007,-0.33
February,1964,-0.6778393,0.95
February,1965,-0.8420248,-0.51
February,1966,-0.6701803,1.24
February,1967,-0.9058218,-0.46
February,1968,-0.7836113,-0.62
February,1969,-0.7684002,0.98
February,1970,-0.47449303,0.46
February,1971,-0.84741306,-1.29
February,1972,-0.9084358,-0.57
February,1973,-0.32980347,1.55
February,1974,-0.9525442,-1.87
February,1975,-0.65971184,-0.56
February,1976,-0.89723015,-1.49
February,1977,-0.586051,0.71
February,1978,-0.58350086,0.71
February,1979,-0.6878061,0.19
February,1980,-0.2485199,0.62
February,1981,-0.24969387,-0.27
February,1982,-0.48815536,-0.05
February,1983,-0.19322205,2.14
February,1984,-0.55775166,-0.63
February,1985,-0.69483757,-1.01
February,1986,-0.37842083,-0.4
February,1987,-0.28931904,1.18
February,1988,-0.3332529,0.63
February,1989,-0.33685303,-1.64
February,1990,-0.27500916,0.18
February,1991,-0.1226902,0.35
February,1992,-0.2507677,1.54
February,1993,-0.30853844,0.13
February,1994,-0.6363077,0.07
February,1995,0.0653286,0.88
February,1996,-0.22209072,-0.88
February,1997,-0.31441593,-0.41
February,1998,0.15417767,2.22
February,1999,-0.047985077,-1.51
February,2000,-0.13648033,-1.47
February,2001,-0.28274632,-0.76
February,2002,-0.008111,-0.15
February,2003,-0.08749771,0.9
February,2004,0.027044296,0.34
February,2005,0.005999565,0.62
February,2006,0.08938789,-0.86
February,2007,0.087981224,0.62
February,2008,-0.3207674,-1.76
February,2009,-0.03472042,-0.89
February,2010,0.2222147,1.47
February,2011,-0.17595196,-1.29
February,2012,-0.17896175,-0.71
February,2013,0.015684128,-0.24
February,2014,-0.09574032,-0.24
February,2015,0.1987896,0.73
February,2016,0.687727,2.5
February,2017,0.49946213,-0.08
February,2018,0.26255322,-0.71
February,2019,0.3083315,0.99
February,2020,0.59908295,0.71
February,2021,0.060156822,-0.99
February,2022,0.22964668,-0.76
February,2023,0.29254246,-0.55
February,2024,0.810215,1.84
February,2025,0.6272297,-0.46
February,2026,0.5316191,-0.39
January,1950,-0.91025925,
January,1951,-0.9179077,-0.79
January,1952,-0.5095453,0.71
January,1953,-0.6519346,0.06
January,1954,-0.87500286,0.56
January,1955,-0.58046246,-0.44
January,1956,-0.75615406,-1.51
January,1957,-0.7872391,-0.39
January,1958,-0.2952366,1.62
January,1959,-0.50857735,0.56
January,1960,-0.5688124,0.14
January,1961,-0.518239,-0.07
January,1962,-0.59148216,-0.05
January,1963,-0.6506443,-0.32
January,1964,-0.63719654,1.13
January,1965,-0.7386179,-0.75
January,1966,-0.73935795,1.6
January,1967,-0.73464966,-0.35
January,1968,-0.84149456,-0.42
January,1969,-0.7021618,0.93
January,1970,-0.49922752,0.71
January,1971,-0.66318893,-1.1
January,1972,-0.8704128,-0.78
January,1973,-0.35525513,1.77
January,1974,-0.7412605,-2.04
January,1975,-0.64174175,-0.71
January,1976,-0.7314205,-1.58
January,1977,-0.53739166,0.84
January,1978,-0.55526924,0.82
January,1979,-0.42161655,0.11
January,1980,-0.2990818,0.64
January,1981,-0.17361832,-0.05
January,1982,-0.57677364,-0.14
January,1983,-0.15107727,2.12
January,1984,-0.40182304,-0.89
January,1985,-0.42222595,-1.06
January,1986,-0.43234348,-0.36
January,1987,-0.33282375,1.21
January,1988,-0.13079262,1
January,1989,-0.5958538,-1.85
January,1990,-0.2298317,-0.04
January,1991,-0.16555214,0.34
January,1992,-0.21001339,1.43
January,1993,-0.30738354,-0.05
January,1994,-0.39534855,0.19
January,1995,-0.12884808,0.97
January,1996,-0.3592558,-1.01
January,1997,-0.3690462,-0.41
January,1998,-0.047706604,2.37
January,1999,-0.22670841,-1.47
January,2000,-0.38930702,-1.53
January,2001,-0.22950554,-0.78
January,2002,0.09550476,-0.32
January,2003,0.10677719,1.08
January,2004,-0.041529655,0.29
January,2005,0.14779186,0.71
January,2006,-0.043540955,-0.82
January,2007,0.3634863,0.88
January,2008,-0.32778263,-1.72
January,2009,0.060009003,-0.79
January,2010,0.19399834,1.5
January,2011,-0.09012127,-1.48
January,2012,-0.16522503,-0.92
January,2013,0.1470747,-0.03
January,2014,0.12727833,-0.11
January,2015,0.19281673,0.8
January,2016,0.5513487,2.59
January,2017,0.40376282,-0.37
January,2018,0.24097252,-0.76
January,2019,0.28461075,1.05
January,2020,0.5814285,0.75
January,2021,0.2434988,-1.06
January,2022,0.2775402,-0.83
January,2023,0.24682045,-0.7
January,2024,0.698431,1.99
January,2025,0.78712463,-0.43
January,2026,0.51140213,-0.6
July,1950,-0.7131119,-0.9
July,1951,-0.66780853,0.5
July,1952,-0.5414858,-0.44
July,1953,-0.50191593,0.74
July,1954,-0.7319536,-0.48
July,1955,-0.76320076,-0.88
July,1956,-0.78054047,-0.47
July,1957,-0.5771227,0.82
July,1958,-0.48587513,0.49
July,1959,-0.5294666,0.02
July,1960,-0.57761574,0
July,1961,-0.49266338,0.22
July,1962,-0.5419731,-0.13
July,1963,-0.42808628,0.45
July,1964,-0.503829,-0.66
July,1965,-0.6334963,0.79
July,1966,-0.40905094,0.18
July,1967,-0.52821636,0.05
July,1968,-0.5941,0.17
July,1969,-0.52675056,0.48
July,1970,-0.5166998,-0.26
July,1971,-0.7038746,-0.69
July,1972,-0.41715145,0.7
July,1973,-0.45191193,-0.8
July,1974,-0.70041084,-0.64
July,1975,-0.7293587,-0.92
July,1976,-0.6570473,0
July,1977,-0.4402628,0.46
July,1978,-0.48847675,-0.24
July,1979,-0.49773502,0.14
July,1980,-0.20954132,0.4
July,1981,-0.24175358,-0.27
July,1982,-0.33819962,0.73
July,1983,-0.31669044,0.62
July,1984,-0.53201485,-0.52
July,1985,-0.53580475,-0.6
July,1986,-0.44865704,0.02
July,1987,-0.0892849,1.11
July,1988,-0.19737053,-1.3
July,1989,-0.23780155,-0.4
July,1990,-0.078165054,0.25
July,1991,-0.047937393,0.63
July,1992,-0.46189594,0.72
July,1993,-0.3506546,0.56
July,1994,-0.27535725,0.23
July,1995,-0.104637146,-0.11
July,1996,-0.20715141,-0.24
July,1997,-0.17279053,1.13
July,1998,0.12102699,-0.08
July,1999,-0.20269012,-0.84
July,2000,-0.23849487,-0.62
July,2001,-0.021224976,-0.08
July,2002,0.033216476,0.45
July,2003,-0.047971725,-0.13
July,2004,-0.27657986,0.22
July,2005,0.0845871,0.09
July,2006,0.002565384,-0.05
July,2007,0.005584717,-0.41
July,2008,-0.024209976,-0.56
July,2009,0.13692093,0.34
July,2010,0.051193237,-0.66
July,2011,0.14229965,-0.34
July,2012,0.039503098,0.03
July,2013,-0.02580452,-0.38
July,2014,0.06496048,0.22
July,2015,0.15289116,1.19
July,2016,0.3597374,0.09
July,2017,0.2648201,0.32
July,2018,0.2775383,0.13
July,2019,0.39609528,0.59
July,2020,0.32448387,-0.18
July,2021,0.33000755,-0.31
July,2022,0.37657928,-0.73
July,2023,0.72343063,0.73
July,2024,0.678072,0.18
July,2025,0.4481449,-0.02
July,2026,0.670166,1.39
June,1950,-0.64020824,-1.1
June,1951,-0.50012875,0.27
June,1952,-0.5439844,-0.07
June,1953,-0.52441025,0.77
June,1954,-0.72957134,-0.48
June,1955,-0.7196655,-0.78
June,1956,-0.79957485,-0.49
June,1957,-0.47146702,0.72
June,1958,-0.54053307,0.57
June,1959,-0.5163603,0.24
June,1960,-0.56854534,0.04
June,1961,-0.46285343,0.22
June,1962,-0.6544447,-0.19
June,1963,-0.51910305,0.12
June,1964,-0.6430321,-0.6
June,1965,-0.6732807,0.47
June,1966,-0.5111141,0.24
June,1967,-0.5937309,-0.15
June,1968,-0.6851549,-0.1
June,1969,-0.4773512,0.62
June,1970,-0.5026636,0.11
June,1971,-0.72236156,-0.72
June,1972,-0.41237164,0.48
June,1973,-0.45542336,-0.51
June,1974,-0.7194414,-0.71
June,1975,-0.69483566,-0.8
June,1976,-0.74333096,-0.23
June,1977,-0.38822365,0.26
June,1978,-0.62572765,-0.28
June,1979,-0.43188572,0.29
June,1980,-0.25387764,0.45
June,1981,-0.24944305,-0.28
June,1982,-0.42020607,0.65
June,1983,-0.26593018,0.95
June,1984,-0.50597286,-0.55
June,1985,-0.46650124,-0.79
June,1986,-0.44809914,-0.09
June,1987,-0.19133568,0.95
June,1988,-0.15690517,-0.99
June,1989,-0.4063406,-0.61
June,1990,-0.18449306,0.25
June,1991,0.027781487,0.49
June,1992,-0.3227768,1.08
June,1993,-0.30272102,0.76
June,1994,-0.25410366,0.25
June,1995,-0.0861969,0.03
June,1996,-0.31589794,-0.25
June,1997,-0.08015442,0.71
June,1998,0.18309498,0.4
June,1999,-0.23231792,-0.79
June,2000,-0.24404716,-0.67
June,2001,-0.11108303,-0.19
June,2002,0.023076057,0.3
June,2003,-0.13892269,-0.18
June,2004,-0.093503,0.12
June,2005,0.07637882,0.27
June,2006,0.08110142,-0.19
June,2007,-0.023880005,-0.34
June,2008,-0.19847584,-0.85
June,2009,0.0043258667,0.03
June,2010,0.086499214,-0.16
June,2011,0.020365715,-0.5
June,2012,0.11935711,-0.18
June,2013,0.107367516,-0.3
June,2014,0.07204723,0.35
June,2015,0.18616772,1.04
June,2016,0.26113796,0.57
June,2017,0.2018156,0.35
June,2018,0.22495174,-0.07
June,2019,0.36853504,0.71
June,2020,0.36007214,0.04
June,2021,0.21241856,-0.4
June,2022,0.3078394,-0.83
June,2023,0.531106,0.46
June,2024,0.6741648,0.43
June,2025,0.4738989,-0.04
June,2026,0.55811024,0.95
March,1950,-0.77384186,-1.2
March,1951,-0.84523296,-0.36
March,1952,-0.74286175,0.27
March,1953,-0.65242195,0.5
March,1954,-0.7477236,0.35
March,1955,-1.0248299,-0.48
March,1956,-0.84303,-0.81
March,1957,-0.80400085,-0.06
March,1958,-0.53450775,1.59
March,1959,-0.43270493,0.64
March,1960,-0.91141033,0.03
March,1961,-0.56341743,0.03
March,1962,-0.55843925,-0.17
March,1963,-0.8479223,-0.17
March,1964,-0.84377575,0.52
March,1965,-0.7822609,-0.25
March,1966,-0.62743664,0.95
March,1967,-0.63876057,-0.48
March,1968,-0.53244305,-0.73
March,1969,-0.6235781,0.98
March,1970,-0.5949755,0.23
March,1971,-0.81135845,-1.36
March,1972,-0.71670055,-0.27
March,1973,-0.4445181,1.13
March,1974,-0.7941704,-1.59
March,1975,-0.61062527,-0.55
March,1976,-1.0131893,-1.11
March,1977,-0.57706356,0.66
March,1978,-0.57292175,0.52
March,1979,-0.48647308,0.21
March,1980,-0.27680683,0.47
March,1981,-0.16367435,-0.42
March,1982,-0.6372585,0.02
March,1983,-0.18823051,1.91
March,1984,-0.39274883,-0.51
March,1985,-0.53070736,-0.86
March,1986,-0.41279888,-0.38
March,1987,-0.4813366,1.13
March,1988,-0.19198704,0.37
March,1989,-0.35730648,-1.38
March,1990,0.07281685,0.19
March,1991,-0.25285244,0.26
March,1992,-0.24710941,1.5
March,1993,-0.3636675,0.31
March,1994,-0.41841125,0
March,1995,-0.2357502,0.65
March,1996,-0.31037235,-0.7
March,1997,-0.17020702,-0.26
March,1998,-0.035345078,1.91
March,1999,-0.39075089,-1.25
March,2000,-0.218503,-1.26
March,2001,-0.15909576,-0.54
March,2002,0.19105911,0.07
March,2003,-0.165946,0.59
March,2004,-0.011122704,0.27
March,2005,0.08854675,0.55
March,2006,-0.0113630295,-0.8
March,2007,0.0007753372,0.19
March,2008,0.01885128,-1.61
March,2009,-0.12113476,-0.84
March,2010,0.26903343,1.21
March,2011,-0.058506966,-1.06
March,2012,-0.13613796,-0.56
March,2013,0.023997307,-0.28
March,2014,0.090714455,-0.21
March,2015,0.22872066,0.65
March,2016,0.6258745,2.21
March,2017,0.49967194,0.08
March,2018,0.27320385,-0.67
March,2019,0.50817394,0.94
March,2020,0.48763943,0.66
March,2021,0.18951416,-0.85
March,2022,0.3939638,-0.68
March,2023,0.5115061,-0.33
March,2024,0.7280197,1.53
March,2025,0.65007496,-0.22
March,2026,0.5310278,-0.21
May,1950,-0.70168304,-1.08
May,1951,-0.41186333,0.16
May,1952,-0.56426716,0.18
May,1953,-0.3897457,0.56
May,1954,-0.6441307,-0.27
May,1955,-0.71955395,-0.76
May,1956,-0.8366337,-0.51
May,1957,-0.54247856,0.63
May,1958,-0.4266739,0.84
May,1959,-0.5302105,0.39
May,1960,-0.6185627,0.17
May,1961,-0.42838097,0.05
May,1962,-0.6282997,-0.2
May,1963,-0.62048817,0.13
May,1964,-0.70769024,-0.35
May,1965,-0.63066864,0.16
May,1966,-0.62128353,0.43
May,1967,-0.41976833,-0.37
May,1968,-0.6449251,-0.48
May,1969,-0.36628628,0.69
May,1970,-0.54642105,0.28
May,1971,-0.69183445,-0.81
May,1972,-0.5717106,0.25
May,1973,-0.36854744,-0.03
May,1974,-0.7343912,-0.99
May,1975,-0.630394,-0.66
May,1976,-0.8763504,-0.45
May,1977,-0.41497898,0.26
May,1978,-0.4918251,-0.06
May,1979,-0.44682312,0.32
May,1980,-0.09135246,0.34
May,1981,-0.23001766,-0.27
May,1982,-0.37207508,0.34
May,1983,-0.13336086,1.23
May,1984,-0.21494007,-0.47
May,1985,-0.43698883,-0.8
May,1986,-0.26939487,-0.17
May,1987,-0.27281666,0.94
May,1988,-0.102508545,-0.45
May,1989,-0.40737152,-0.85
May,1990,-0.016663551,0.27
May,1991,-0.17679882,0.29
May,1992,-0.33871365,1.3
May,1993,-0.29533768,0.73
May,1994,-0.34853745,0.17
May,1995,-0.23524094,0.19
May,1996,-0.36728382,-0.36
May,1997,-0.25249004,0.3
May,1998,0.17812443,1.03
May,1999,-0.29740906,-0.8
May,2000,-0.2207241,-0.81
May,2001,-0.045884132,-0.29
May,2002,0.07986641,0.15
May,2003,-0.013793945,-0.01
May,2004,-0.21040058,0.1
May,2005,0.06947231,0.37
May,2006,-0.071824074,-0.45
May,2007,0.083758354,-0.32
May,2008,-0.10529041,-1.05
May,2009,-0.0041503906,-0.35
May,2010,0.19825745,0.38
May,2011,-0.04186535,-0.68
May,2012,0.17339516,-0.35
May,2013,0.021333694,-0.2
May,2014,0.18322659,0.25
May,2015,0.17647552,0.86
May,2016,0.41520023,1.11
May,2017,0.37242413,0.32
May,2018,0.25171375,-0.35
May,2019,0.3566723,0.82
May,2020,0.46582794,0.33
May,2021,0.25726128,-0.56
May,2022,0.25571442,-0.86
May,2023,0.39521217,0.19
May,2024,0.6517477,0.77
May,2025,0.53054905,0.02
May,2026,0.5505047,0.46
November,1950,-0.90108967,-0.62
November,1951,-0.57999516,1.03
November,1952,-0.91147614,0.04
November,1953,-0.69376564,0.78
November,1954,-0.6832514,-0.52
November,1955,-0.92024803,-1.44
November,1956,-0.853755,-0.39
November,1957,-0.5103674,1.15
November,1958,-0.63250065,0.3
November,1959,-0.7355881,0.11
November,1960,-0.71767235,0.08
November,1961,-0.6106682,-0.22
November,1962,-0.6033735,-0.25
November,1963,-0.50990677,1.13
November,1964,-0.87817764,-0.8
November,1965,-0.6897335,1.7
November,1966,-0.69593334,-0.12
November,1967,-0.6683197,-0.4
November,1968,-0.7133465,0.5
November,1969,-0.4806528,0.71
November,1970,-0.6556721,-0.72
November,1971,-0.75341797,-0.78
November,1972,-0.63710785,1.69
November,1973,-0.6130581,-1.58
November,1974,-0.8001776,-0.69
November,1975,-0.8755436,-1.32
November,1976,-0.81983566,0.79
November,1977,-0.48332977,0.68
November,1978,-0.5271206,-0.27
November,1979,-0.3844366,0.47
November,1980,-0.42946243,-0.07
November,1981,-0.42513847,-0.16
November,1982,-0.5208702,1.82
November,1983,-0.35415363,-0.76
November,1984,-0.6527462,-0.62
November,1985,-0.59397125,-0.3
November,1986,-0.50141144,0.86
November,1987,-0.37327766,1.41
November,1988,-0.5690031,-1.54
November,1989,-0.4900694,-0.25
November,1990,-0.12052441,0.27
November,1991,-0.35830593,0.83
November,1992,-0.6178684,-0.22
November,1993,-0.54255104,0.2
November,1994,-0.24947643,0.66
November,1995,-0.22426605,-0.97
November,1996,-0.21953964,-0.33
November,1997,-0.01834011,2.24
November,1998,-0.23910713,-1.12
November,1999,-0.30310154,-1.13
November,2000,-0.34655,-0.54
November,2001,0.09959221,-0.26
November,2002,-0.054730415,0.99
November,2003,-0.037448883,0.23
November,2004,0.07111359,0.61
November,2005,0.13140392,-0.27
November,2006,0.101026535,0.71
November,2007,-0.038754463,-1.38
November,2008,0.051452637,-0.36
November,2009,0.1408701,0.92
November,2010,0.13377762,-1.54
November,2011,-0.09462643,-0.94
November,2012,0.19594574,0.28
November,2013,0.14968967,-0.14
November,2014,0.051153183,0.51
November,2015,0.3858261,2.28
November,2016,0.40478706,-0.51
November,2017,0.2479105,-0.44
November,2018,0.23819065,0.82
November,2019,0.40484238,0.51
November,2020,0.53706074,-1
November,2021,0.34596062,-0.77
November,2022,0.16215515,-0.89
November,2023,0.8537445,1.74
November,2024,0.7279835,-0.19
November,2025,0.6487646,-0.57
October,1950,-0.6468544,-0.56
October,1951,-0.48215294,1.02
October,1952,-0.69222164,0.03
October,1953,-0.5981102,0.59
October,1954,-0.7718792,-0.73
October,1955,-0.73808193,-1.11
October,1956,-0.98661137,-0.43
October,1957,-0.52167416,1.12
October,1958,-0.6237383,0.28
October,1959,-0.6382427,-0.04
October,1960,-0.5693712,0.19
October,1961,-0.57938004,-0.32
October,1962,-0.6078415,-0.16
October,1963,-0.5045061,1.09
October,1964,-1.001936,-0.72
October,1965,-0.68038845,1.55
October,1966,-0.7808676,-0.09
October,1967,-0.5198374,-0.4
October,1968,-0.56295204,0.34
October,1969,-0.61020756,0.61
October,1970,-0.6406479,-0.69
October,1971,-0.79224205,-0.68
October,1972,-0.549119,1.49
October,1973,-0.6433172,-1.26
October,1974,-0.8322687,-0.47
October,1975,-0.92811203,-1.29
October,1976,-1.0600338,0.6
October,1977,-0.71654224,0.45
October,1978,-0.6957722,-0.44
October,1979,-0.36478424,0.34
October,1980,-0.45589542,-0.17
October,1981,-0.41902733,-0.08
October,1982,-0.5201969,1.45
October,1983,-0.47554874,-0.43
October,1984,-0.5221844,-0.32
October,1985,-0.6469984,-0.31
October,1986,-0.59407234,0.64
October,1987,-0.34642506,1.49
October,1988,-0.35174274,-1.27
October,1989,-0.37505054,-0.33
October,1990,-0.15847206,0.31
October,1991,-0.34852886,0.72
October,1992,-0.6016693,-0.15
October,1993,-0.43048668,0.2
October,1994,-0.2922449,0.47
October,1995,-0.19515514,-0.81
October,1996,-0.4405651,-0.3
October,1997,-0.053113937,2.04
October,1998,-0.17791367,-1.02
October,1999,-0.30163097,-1
October,2000,-0.39593697,-0.42
October,2001,-0.1062994,-0.15
October,2002,-0.08117771,0.78
October,2003,0.10379219,0.23
October,2004,0.006457329,0.58
October,2005,0.17159939,-0.11
October,2006,0.13767147,0.54
October,2007,-0.014292717,-1.05
October,2008,0.036865234,-0.25
October,2009,0.07972717,0.66
October,2010,0.11609554,-1.43
October,2011,0.029310226,-0.76
October,2012,0.21889305,0.37
October,2013,0.051130295,-0.32
October,2014,0.16329479,0.24
October,2015,0.44097042,2.02
October,2016,0.34130383,-0.42
October,2017,0.35907078,-0.23
October,2018,0.3543272,0.52
October,2019,0.4528551,0.31
October,2020,0.37566376,-0.77
October,2021,0.42101574,-0.64
October,2022,0.40864563,-0.87
October,2023,0.8495197,1.5
October,2024,0.7986078,-0.12
October,2025,0.69484043,-0.43
September,1950,-0.66482544,-0.57
September,1951,-0.49286175,0.9
September,1952,-0.6126194,-0.2
September,1953,-0.6320429,0.68
September,1954,-0.87515736,-0.83
September,1955,-0.6834698,-0.92
September,1956,-0.92163944,-0.52
September,1957,-0.53384686,1.03
September,1958,-0.6557627,0.32
September,1959,-0.70442104,-0.23
September,1960,-0.6237612,0.15
September,1961,-0.51615715,-0.2
September,1962,-0.64635086,-0.1
September,1963,-0.4472847,1.09
September,1964,-0.89646626,-0.7
September,1965,-0.72245884,1.27
